"Nombre común","Edad","Procedencia","Fecha de ingreso","Motivo de ingreso","Destino"
"Marsopa espinosa","Juvenil","Ancud ","1/20/2020","Ingresa muerto","Muerte"
"Pelícano","Juvenil","Ancud","1/23/2020","Ingresa muerto","Muerte"
"Pingüino de magallanes","Juvenil","Pto Montt","1/24/2020","Otro","Liberación "
"Pingüino de magallanes","Juvenil","Los Muermos","1/25/2020","Trauma ","Liberación "
"Pingüino de magallanes","Juvenil","Calbuco","1/26/2020","Trauma ","Rehabilitación"
"Pingüino de magallanes","Juvenil","Quellón","1/26/2020","Trauma ","Muerte"
"Pingüino de magallanes","Juvenil","Pto Montt","1/27/2020","Trauma ","Rehabilitación"
"Bandurria","Juvenil","Quinchao","1/31/2020","Trauma ","Muerte"
"Pingüino de magallanes","Juvenil","San Juan de la Costa","1/31/2020","Otro","Muerte"
"Pudú","Adulto","Quellón","2/10/2020","Ataque de perros","Muerte"
"Pudú","Juvenil","Ancud","2/12/2020","Ataque de perros","Muerte"
"Pingüino de magallanes","Juvenil","Chonchi","2/13/2020","Trauma ","Muerte"
"Pingüino de magallanes","Juvenil","Ancud","2/16/2020","Trauma ","Muerte"
"Lobo marino común","Juvenil","Chonchi","2/18/2020","Otro","Liberación"
"Pudú","Adulto","Queilen","2/19/2020","Otro","Muerte"
"Lobo marino común","Juvenil","Maullin","2/19/2020","Otro","Liberación"
"Cachaña","Neonato","Quellón","2/22/2020","Otro","Muerte"
"Cachaña","Neonato","Quellón","2/22/2020","Otro","Liberación "
"Cachaña","Neonato","Quellón","2/22/2020","Otro","Liberación "
"Cachaña","Neonato","Quellón","2/22/2020","Otro","Liberación "
"Cachaña","Neonato","Quellón","2/22/2020","Otro","Liberación "
"Pingüino de magallanes","Juvenil","Hualaihue","2/4/2020","Trauma ","Muerte"
"Pudú","Juvenil","Ancud","2/7/2020","Atropello","Muerte"
"Pingüino de magallanes","Juvenil","Ancud","3/8/2020","Trauma ","Liberación "
"Chuncho","Juvenil","Ancud","3/9/2020","Otro","Liberación"
"Choroy","Adulto","Quellón","3/11/2020","Trauma ","Muerte"
"Petrel gigante anatartico","Juvenil","Quellón","3/11/2020","Otro","Muerte"
"Martín pescador","Adulto","Quemchi","3/12/2020","Trauma ","Muerte"
"Choroy","Adulto","U. San Sebastián - Pto Montt","3/19/2020","Otro","Muerte"
"Choroy","Adulto","U. San Sebastián - Pto Montt","3/19/2020","Otro","Muerte"
"Choroy","Adulto","U. San Sebastián - Pto Montt","3/19/2020","Trauma ","Muerte"
"Tortuga olivacea","Adulto","Quemchi","4/3/2020","Trauma ","Muerte"
"Choroy","Adulto","Quemchi","4/2/2020","Otro","Liberación"
"Pudú","Juvenil","Castro ","4/9/2020","Ataque de perros","Muerte"
"Tiuque","Adulto","Ancud","4/13/2020","Trauma ","Muerte"
"Pudú","Juvenil","Ancud","5/1/2020","Ataque de perros","Muerte"
"Choroy","Adulto","Castro","5/6/2020","Trauma ","Muerte"
"Pudú","Adulto","Chonchi","5/20/2020","Ataque de perros","Muerte"
"Garza chica","Adulto  ","","","Trauma ","Muerte"
"Gaviota dominicana","Adulto","Ancud","5/17/2020","Trauma ","Muerte"
"Pudú","Adulto","Chonchi","5/20/2020","Ataque de perros","Muerte"
"Pudú","Adulto","Chonchi","5/28/2020","Ataque de perros","Muerte"
"Pudú","Adulto","Ancud","6/1/2020","Ataque de perros","Muerte"
"Cachaña","Adulto","Ancud","6/8/2020","Trauma ","Muerte"
"Piquero","Adulto","Ancud","6/12/2020","Otro","Muerte"
"Cachaña","Adulto","Ancud","6/25/2020","Trauma ","Muerte"
"Lobo marino común","Adulto","Ancud","6/30/2020","Trauma ","Muerte"
"Concon","Juvenil","Ancud","7/3/2020","Trauma ","Exhibición"
"Cernícalo","Adulto","Ancud","7/19/2020","Otro","Liberación"
"Lobo fino","Juvenil","Ancud","7/20/2020","Otro","Muerte"
"Pudú","Adulto","Dalcahue","7/21/2020","Ataque de perros","Muerte"
"Queltehue","Adulto","Ancud","7/22/2020","Trauma ","Muerte"
"Tortuga olivacea","Juvenil","Quinchao","7/24/2020","Ingresa muerto","Muerte"
"Pudú","Adulto","Dalcahue","8/1/2020","Atropello","Muerte"
"Pudú","Adulto","Dalcahue","7/25/2020","Ataque de perros","Muerte"
"Lobo marino común","","","","",""
"Pudú","Adulto","Chonchi","9/7/2020","Ataque de perros","Muerte"
"choroy","Adulto","Ancud","9/12/2020","Otro","Muerte"
"Gaviota dominicana","Adulto","Ancud","10/2/2020","Trauma ","Muerte"
"picaflor chico","","Castro","10/18/2020","Trauma ",""
"Lobo marino común","Juvenil","Hualaihue","10/21/2020","Trauma ","Muerte"
"Pudú","Adulto","Ancud","10/22/2020","Ataque de perros","Muerte"
"Choroy","Adulto","Castro","10/25/2020","Trauma ","Muerte"
"Pudú","Adulto","Castro","10/29/2020","Ataque de perros","Muerte"
"Bandurria","Juvenil","Ancud","11/2/2020","Trauma ","Muerte"
"Bandurria","Adulto","Quellón","11/6/2020","Trauma ","Muerte"
"Loro Choroy","Adulto","Ancud","11/11/2020","Trauma ","Muerte"
"Tiuque","Adulto","Castro","11/16/2020","Trauma ","Muerte"
"Loro Choroy","Adulto","Ancud","11/16/2020","Otro","Muerte"
"Loro Choroy","Adulto","Ancud  ","11/16/2020","Trauma ","Muerte"
